cell,chromosomes,gonads,stage
0,XX,F,10.5
1,XX,F,10.5
2,XX,F,10.5
3,XX,F,16.5
4,XX,F,16.5
5,XX,F,16.5
6,XX,F,nn
7,XX,F,nn
8,XX,F,ad
9,XX,F,ad
10,XX,F,ad
11,XX,M,10.5
12,XX,M,10.5
13,XX,M,16.5
14,XX,M,16.5
15,XX,M,16.5
16,XX,M,nn
17,XX,M,nn
18,XX,M,nn
19,XX,M,ad
20,XX,M,ad
21,XY,F,10.5
22,XY,F,10.5
23,XY,F,16.5
24,XY,F,16.5
25,XY,F,nn
26,XY,F,nn
27,XY,F,nn
28,XY,F,ad
29,XY,F,ad
30,XY,F,ad
31,XY,M,10.5
32,XY,M,10.5
33,XY,M,10.5
34,XY,M,16.5
35,XY,M,16.5
36,XY,M,16.5
37,XY,M,nn
38,XY,M,nn
39,XY,M,nn
40,XY,M,ad
41,XY,M,ad
42,XY,M,ad
